listing_id,shareholder_id,company_id,shares_offered,ask_price_per_share,listing_date,status,listing_type,minimum_block_size,expiry_date
L0001,SH003,C013,70822,271.55,2025-05-12,partially_filled,negotiated,500,2025-08-17
L0002,SH017,C014,80507,156.75,2025-08-05,withdrawn,negotiated,500,2025-11-22
L0003,SH013,C011,86180,140.1,2026-06-14,filled,standard,500,2026-07-30
L0004,SH011,C001,78110,200.56,2025-08-14,active,negotiated,100,2025-11-10
L0005,SH003,C015,5117,302.98,2025-03-14,filled,auction,5000,2025-06-06
L0006,SH018,C003,95811,328.4,2026-04-30,active,auction,5000,2026-07-17
L0007,SH004,C002,87374,159.4,2026-03-10,filled,negotiated,100,2026-05-04
L0008,SH002,C007,96448,128.67,2025-04-22,active,standard,10000,2025-09-13
L0009,SH005,C007,25050,108.31,2025-09-13,expired,standard,5000,2026-03-02
L0010,SH004,C001,86477,349.76,2025-01-16,withdrawn,standard,500,2025-05-30
L0011,SH016,C008,29016,304.66,2025-03-02,active,standard,5000,2025-06-07
L0012,SH015,C005,56444,248.36,2026-05-14,active,auction,500,2026-06-27
L0013,SH019,C012,72066,35.42,2025-11-18,active,negotiated,5000,2026-04-25
L0014,SH017,C003,8455,336.86,2025-03-24,expired,standard,10000,2025-05-10
L0015,SH022,C014,31828,150.26,2025-09-10,partially_filled,standard,10000,2025-10-30
L0016,SH014,C011,77503,204.35,2025-11-20,withdrawn,standard,1000,2026-02-19
L0017,SH009,C007,18154,240.02,2025-11-04,filled,standard,100,2026-03-31
L0018,SH020,C010,14104,39.54,2025-08-07,filled,standard,1000,2025-09-23
L0019,SH008,C006,38353,67.85,2025-11-06,partially_filled,negotiated,10000,2025-12-08
L0020,SH022,C014,73692,115.29,2025-04-17,withdrawn,standard,1000,2025-06-15
L0021,SH004,C012,73512,67.08,2025-10-16,partially_filled,negotiated,1000,2026-01-06
L0022,SH022,C011,35600,184.31,2025-09-15,withdrawn,standard,100,2026-01-31
L0023,SH009,C001,1464,126.74,2025-05-14,partially_filled,auction,500,2025-10-04
L0024,SH018,C012,57057,202.9,2025-04-25,active,negotiated,500,2025-10-11
L0025,SH002,C014,49393,210.14,2025-06-01,filled,standard,1000,2025-10-02
L0026,SH002,C015,47898,85.38,2025-09-13,partially_filled,auction,10000,2026-01-25
L0027,SH020,C012,21257,325.13,2025-08-31,expired,standard,5000,2025-10-06
L0028,SH006,C012,44540,277.1,2026-02-26,expired,negotiated,500,2026-06-04
L0029,SH006,C013,92917,51.21,2025-02-09,expired,standard,500,2025-07-06
L0030,SH012,C005,30831,89.68,2025-07-17,filled,auction,100,2025-10-26
L0031,SH012,C011,67768,148.89,2025-12-06,withdrawn,standard,1000,2026-02-19
L0032,SH019,C005,6014,51.31,2026-03-21,filled,auction,5000,2026-08-28
L0033,SH004,C007,76574,78.68,2025-02-15,expired,standard,10000,2025-08-01
L0034,SH022,C012,98248,261.91,2025-07-21,filled,standard,1000,2025-11-08
L0035,SH022,C014,17334,256.12,2025-11-04,filled,negotiated,5000,2026-02-25
L0036,SH013,C012,39752,200.73,2025-07-16,filled,auction,500,2026-01-07
L0037,SH010,C007,72819,294.3,2025-11-08,active,auction,10000,2026-02-28
L0038,SH015,C008,58954,241.34,2026-06-08,filled,negotiated,500,2026-07-29
L0039,SH010,C009,88012,227.04,2025-12-10,active,standard,1000,2026-03-07
L0040,SH007,C003,4201,30.48,2026-05-02,partially_filled,standard,5000,2026-09-15
L0041,SH021,C010,26485,255.65,2026-01-29,filled,standard,500,2026-03-01
L0042,SH025,C014,14970,275.77,2025-08-13,active,negotiated,10000,2026-01-08
L0043,SH002,C009,33662,322.35,2025-05-05,filled,auction,10000,2025-10-25
