signal_id,company_id,signal_date,signal_type,price_per_share,source,confidence_score,previous_price,price_change_pct
PS0001,C013,2025-04-11,funding_round,62.21,forge_global,0.85,66.19,-6.01
PS0002,C002,2025-10-18,analyst_estimate,351.94,forge_global,0.55,247.13,42.41
PS0003,C012,2025-01-08,analyst_estimate,213.79,equityzen,0.4,205.63,3.97
PS0004,C012,2025-11-20,funding_round,151.29,hiive_marketplace,0.65,141.33,7.05
PS0005,C005,2026-03-10,analyst_estimate,152.6,carta,0.99,131.08,16.42
PS0006,C004,2026-02-28,analyst_estimate,315.68,forge_global,0.51,291.57,8.27
PS0007,C008,2025-09-17,tender_offer,235.28,cb_insights,0.82,233.94,0.57
PS0008,C014,2025-05-02,secondary_trade,184.17,pitchbook,0.96,136.31,35.11
PS0009,C009,2026-02-15,tender_offer,322.33,equityzen,0.81,316.76,1.76
PS0010,C003,2026-02-03,409a_valuation,323.7,cb_insights,0.49,346.47,-6.57
PS0011,C007,2025-04-01,409a_valuation,112.61,carta,0.45,80.53,39.84
PS0012,C007,2026-02-15,analyst_estimate,265.91,carta,0.82,249.69,6.5
PS0013,C013,2025-06-29,funding_round,181.2,hiive_marketplace,0.9,194.3,-6.74
PS0014,C009,2025-10-20,secondary_trade,23.11,equityzen,0.7,22.63,2.12
PS0015,C010,2025-06-23,409a_valuation,150.3,pitchbook,0.4,114.68,31.06
PS0016,C005,2026-02-14,tender_offer,271.17,forge_global,0.75,245.98,10.24
PS0017,C012,2025-03-12,409a_valuation,224.34,pitchbook,0.89,239.15,-6.19
PS0018,C006,2025-12-22,tender_offer,98.26,hiive_marketplace,0.67,84.66,16.06
PS0019,C001,2025-09-25,secondary_trade,168.78,internal_409a,0.73,152.12,10.95
PS0020,C006,2025-04-30,analyst_estimate,383.12,equityzen,0.88,356.29,7.53
PS0021,C012,2026-03-30,funding_round,229.64,cb_insights,0.54,191.95,19.64
PS0022,C013,2026-04-15,funding_round,359.64,cb_insights,0.42,268.47,33.96
PS0023,C002,2026-01-27,secondary_trade,274.0,hiive_marketplace,0.87,237.0,15.61
PS0024,C006,2026-06-13,analyst_estimate,13.79,cb_insights,0.56,11.24,22.69
PS0025,C007,2025-12-17,409a_valuation,226.28,hiive_marketplace,0.68,190.4,18.84
PS0026,C015,2025-10-03,secondary_trade,379.38,pitchbook,0.95,294.42,28.86
PS0027,C012,2025-07-24,secondary_trade,296.82,cb_insights,0.56,234.99,26.31
PS0028,C014,2025-09-13,analyst_estimate,148.85,cb_insights,0.46,158.98,-6.37
