trade_id,listing_id,buyer_id,company_id,shares_traded,execution_price_per_share,total_value_usd,trade_date,settlement_date,trade_type,commission_pct,compliance_status
T0001,L0052,B009,C004,32876,21.67,712422.92,2026-01-13,2026-01-18,negotiated,1.95,pending_settlement
T0002,L0017,B020,C007,47484,276.54,13131225.36,2026-06-23,2026-06-28,matched,4.38,cleared
T0003,L0082,B042,C002,29989,183.43,5500882.27,2026-06-14,2026-06-18,direct,4.57,pending_settlement
T0004,L0164,B038,C003,8956,171.2,1533267.2,2025-02-26,2025-02-28,negotiated,2.04,cleared
T0005,L0083,B046,C004,23176,360.67,8358887.92,2026-06-16,2026-06-20,direct,2.38,cleared
T0006,L0142,B018,C003,41461,123.44,5117945.84,2025-04-06,2025-04-09,negotiated,4.8,cleared
T0007,L0169,B040,C012,40158,136.24,5471125.92,2025-02-12,2025-02-14,direct,1.66,cleared
T0008,L0148,B017,C011,14315,294.24,4212045.6,2026-03-03,2026-03-05,matched,4.61,cleared
T0009,L0165,B020,C008,16548,308.13,5098935.24,2026-02-20,2026-02-24,matched,1.76,cleared
T0010,L0113,B027,C008,30937,87.08,2693993.96,2025-05-28,2025-06-01,negotiated,2.62,under_review
T0011,L0089,B026,C003,24783,201.51,4994022.33,2025-04-19,2025-04-23,direct,3.13,cleared
T0012,L0064,B010,C002,3816,118.8,453340.8,2026-01-29,2026-02-03,direct,4.87,under_review
T0013,L0084,B037,C012,20994,81.86,1718568.84,2025-06-13,2025-06-18,negotiated,3.13,pending_settlement
T0014,L0128,B002,C002,26271,198.0,5201658.0,2025-09-04,2025-09-07,negotiated,2.74,cleared
T0015,L0127,B039,C015,43377,259.49,11255897.73,2025-10-20,2025-10-22,direct,3.01,pending_settlement
T0016,L0187,B024,C013,26927,146.66,3949113.82,2026-02-15,2026-02-17,negotiated,3.47,cleared
T0017,L0074,B005,C007,33546,177.73,5962130.58,2025-10-14,2025-10-16,direct,4.91,cleared
T0018,L0087,B036,C006,49977,65.09,3253002.93,2026-06-06,2026-06-11,negotiated,1.64,cleared
T0019,L0183,B022,C013,31547,203.11,6407511.17,2025-06-02,2025-06-05,matched,4.76,cleared
T0020,L0101,B040,C012,20110,230.49,4635153.9,2026-06-04,2026-06-09,negotiated,3.47,cleared
T0021,L0005,B024,C006,44658,52.33,2336953.14,2026-03-03,2026-03-07,negotiated,4.55,cleared
T0022,L0153,B031,C005,43464,300.11,13043981.04,2025-08-22,2025-08-24,negotiated,3.18,cleared
T0023,L0185,B040,C013,25416,66.38,1687114.08,2025-09-06,2025-09-08,negotiated,4.82,cleared
T0024,L0005,B029,C006,27945,67.73,1892714.85,2025-07-28,2025-08-02,negotiated,4.21,under_review
T0025,L0189,B047,C001,46753,62.81,2936555.93,2025-08-01,2025-08-05,negotiated,3.17,cleared
T0026,L0045,B030,C015,35439,137.98,4889873.22,2025-12-29,2026-01-02,negotiated,3.19,under_review
T0027,L0072,B036,C005,15236,358.47,5461648.92,2025-11-01,2025-11-05,negotiated,2.23,pending_settlement
T0028,L0082,B031,C006,37232,355.6,13239699.2,2025-10-08,2025-10-12,direct,3.51,cleared
T0029,L0102,B023,C013,10099,118.89,1200670.11,2025-10-22,2025-10-24,matched,4.73,cleared
T0030,L0192,B031,C004,13742,316.69,4351953.98,2025-10-05,2025-10-09,direct,1.88,pending_settlement
T0031,L0062,B016,C001,44398,345.11,15322193.78,2025-08-20,2025-08-23,direct,1.85,cleared
T0032,L0121,B007,C011,9509,13.91,132270.19,2025-06-11,2025-06-16,negotiated,4.77,pending_settlement
T0033,L0123,B042,C004,19324,130.19,2515791.56,2025-03-02,2025-03-04,negotiated,3.51,cleared
T0034,L0186,B003,C015,11973,165.78,1984883.94,2025-06-30,2025-07-02,matched,4.26,cleared
T0035,L0192,B019,C015,2955,15.41,45536.55,2025-04-20,2025-04-24,matched,3.09,cleared
T0036,L0135,B032,C015,9294,325.19,3022315.86,2026-04-25,2026-04-29,direct,4.33,cleared
T0037,L0188,B030,C011,17360,276.44,4798998.4,2025-01-15,2025-01-19,matched,3.49,pending_settlement
T0038,L0045,B040,C014,42359,342.11,14491437.49,2026-03-14,2026-03-18,direct,2.9,cleared
T0039,L0036,B031,C006,16756,14.51,243129.56,2026-01-28,2026-01-31,matched,4.14,under_review
T0040,L0078,B038,C012,38044,16.21,616693.24,2026-01-04,2026-01-07,direct,3.84,cleared
T0041,L0041,B026,C011,33433,351.7,11758386.1,2025-11-15,2025-11-17,negotiated,4.71,cleared
T0042,L0158,B015,C004,9253,187.97,1739286.41,2026-04-11,2026-04-15,matched,3.96,under_review
T0043,L0194,B035,C013,44022,315.82,13903028.04,2025-09-11,2025-09-13,negotiated,3.06,pending_settlement
T0044,L0020,B037,C002,4547,316.99,1441353.53,2026-06-02,2026-06-05,negotiated,3.38,cleared
T0045,L0134,B029,C002,45083,87.59,3948819.97,2026-05-16,2026-05-18,negotiated,3.06,cleared
T0046,L0034,B033,C007,30436,219.52,6681310.72,2026-04-19,2026-04-23,negotiated,1.58,cleared
