session_id,user_id,session_start,session_duration_min,pages_viewed,searches_performed,listings_clicked,offers_submitted,user_type,referral_source
S0001,U059,2025-02-02 18:31:07,45.1,1,7,7,3,both,email
S0002,U062,2025-09-15 11:53:22,72.8,25,6,12,1,browse_only,direct
S0003,U047,2025-01-08 16:24:07,7.6,2,3,4,2,seller,social
S0004,U047,2025-02-04 02:26:42,87.8,13,6,9,1,buyer,partner
S0005,U023,2025-09-21 22:39:25,76.4,16,5,6,0,buyer,partner
S0006,U013,2025-01-17 07:21:07,75.0,9,12,20,0,buyer,email
S0007,U040,2025-12-21 08:15:10,22.4,24,5,16,4,browse_only,direct
S0008,U016,2025-04-23 04:24:43,79.6,9,6,6,4,seller,partner
S0009,U041,2026-04-11 16:24:23,39.2,16,1,19,4,buyer,social
S0010,U038,2025-04-26 09:29:17,30.2,4,8,4,4,browse_only,search
S0011,U027,2025-03-05 05:32:58,70.8,5,5,16,3,browse_only,social
S0012,U048,2026-01-23 06:20:59,47.2,12,10,11,4,both,search
S0013,U061,2025-07-28 10:08:07,52.7,3,6,7,1,seller,email
S0014,U051,2025-06-19 18:52:56,28.2,25,5,11,2,seller,email
S0015,U011,2025-08-18 04:05:37,40.6,23,7,18,0,seller,social
S0016,U044,2025-11-27 23:07:24,41.2,28,13,11,3,buyer,search
S0017,U004,2025-05-20 11:20:52,40.3,17,2,11,0,buyer,social
S0018,U066,2026-03-01 14:19:47,58.3,18,7,3,0,buyer,direct
S0019,U070,2025-06-05 13:59:08,30.7,22,8,9,5,browse_only,partner
S0020,U025,2026-04-15 04:00:38,89.8,35,8,0,2,buyer,partner
S0021,U052,2025-11-12 03:53:10,74.1,1,15,20,4,browse_only,email
S0022,U051,2025-06-26 18:22:14,21.2,14,15,7,4,seller,social
S0023,U060,2025-12-25 09:08:26,31.3,6,10,6,3,browse_only,search
S0024,U027,2025-12-07 17:36:10,41.0,2,11,4,4,browse_only,partner
S0025,U002,2026-01-24 04:57:04,73.1,23,10,7,3,seller,search
S0026,U069,2025-08-21 17:38:32,30.0,2,1,4,1,browse_only,partner
S0027,U073,2026-05-05 05:03:20,72.1,26,12,6,3,buyer,search
S0028,U025,2026-01-04 18:29:49,10.7,29,9,2,1,buyer,social
S0029,U023,2025-01-25 21:37:33,74.6,32,0,5,1,buyer,search
S0030,U037,2025-06-09 22:06:38,21.7,34,2,14,0,seller,direct
S0031,U022,2025-09-11 19:28:22,77.5,27,12,5,0,buyer,search
S0032,U062,2025-02-23 09:50:06,35.6,14,4,6,2,seller,search
S0033,U021,2026-04-14 21:57:35,52.2,20,6,16,5,both,partner
S0034,U026,2025-01-06 18:45:11,89.2,29,2,12,4,browse_only,social
S0035,U043,2026-03-19 03:11:56,79.3,30,14,18,0,both,partner
S0036,U059,2025-09-27 08:28:55,63.3,20,12,19,1,seller,email
S0037,U080,2025-12-02 14:29:30,41.7,12,3,12,5,browse_only,email
S0038,U021,2025-08-01 15:33:34,79.5,35,9,2,5,both,email
S0039,U064,2025-11-16 10:46:49,89.3,8,11,2,0,seller,partner
