metric_id,timestamp,active_users,page_views,listings_viewed,bids_placed,matches_made,avg_session_duration_sec,platform_section,device_type
M0001,2025-08-11 01:50:03,1939,2927,452,37,19,100,portfolio,desktop
M0002,2026-05-17 20:12:18,1900,1681,759,64,3,229,portfolio,desktop
M0003,2025-09-09 05:44:55,1896,608,203,58,18,774,portfolio,mobile
M0004,2025-03-12 01:04:14,1074,5509,728,83,29,773,portfolio,mobile
M0005,2025-04-06 23:01:52,423,2070,743,57,20,416,marketplace,desktop
M0006,2025-10-26 07:54:27,2145,10228,183,48,17,434,marketplace,mobile
M0007,2025-09-18 08:27:10,2366,14475,695,110,4,211,portfolio,desktop
M0008,2025-02-09 20:29:48,1768,5247,336,93,24,501,discovery,mobile
M0009,2025-04-02 07:21:53,588,3523,23,79,24,304,marketplace,desktop
M0010,2026-01-23 07:21:54,2276,13429,25,77,28,550,portfolio,desktop
M0011,2026-05-28 05:25:24,1998,7634,439,56,2,660,marketplace,desktop
M0012,2026-03-02 03:11:13,1189,10354,663,71,26,890,portfolio,desktop
M0013,2025-04-26 03:41:43,275,10903,377,4,4,78,discovery,desktop
M0014,2025-03-10 02:53:47,250,1984,446,22,5,733,discovery,mobile
M0015,2026-06-22 02:44:53,2486,9576,595,22,30,511,discovery,tablet
M0016,2025-03-14 07:59:59,1275,5489,397,114,12,884,marketplace,mobile
M0017,2026-03-04 13:31:29,315,4997,502,17,3,756,discovery,desktop
M0018,2025-11-18 09:00:23,2198,3638,732,26,19,104,marketplace,desktop
M0019,2026-05-04 13:00:39,2216,1636,515,92,22,664,discovery,desktop
M0020,2025-09-03 19:46:27,1113,8808,608,79,11,177,compliance,desktop
M0021,2026-05-06 18:40:46,2088,8269,204,113,19,283,discovery,tablet
M0022,2025-01-02 05:28:13,534,592,496,80,25,165,portfolio,mobile
M0023,2025-11-19 01:18:08,1745,945,361,44,17,870,portfolio,desktop
M0024,2025-06-06 06:24:00,1203,4368,89,39,9,563,discovery,mobile
M0025,2025-03-30 10:04:15,1415,5792,425,92,18,675,marketplace,mobile
M0026,2025-05-31 16:42:45,1403,13861,366,118,21,535,compliance,mobile
M0027,2026-05-17 11:49:47,606,8088,179,80,14,594,discovery,desktop
M0028,2025-11-18 12:38:39,279,13882,553,38,18,787,discovery,desktop
M0029,2025-01-15 12:56:12,903,9660,721,42,25,859,discovery,desktop
M0030,2025-04-26 23:14:42,1198,13974,51,43,12,686,portfolio,desktop
M0031,2025-10-30 14:02:30,817,9951,139,110,25,814,discovery,mobile
M0032,2025-09-02 06:41:37,179,4648,443,11,15,288,discovery,desktop
M0033,2025-08-24 01:24:28,935,8803,329,22,3,428,marketplace,mobile
M0034,2025-03-13 22:15:57,1867,8490,45,102,15,557,portfolio,desktop
M0035,2026-01-11 12:34:12,2194,5284,355,18,24,145,portfolio,desktop
M0036,2025-01-29 09:23:19,1931,6550,750,110,16,163,marketplace,desktop
M0037,2025-02-04 04:46:40,2484,14484,109,42,14,92,marketplace,desktop
M0038,2026-05-27 20:21:26,1329,568,611,97,9,699,portfolio,desktop
M0039,2025-05-30 13:18:39,1223,4732,565,40,24,496,marketplace,desktop
M0040,2025-05-03 07:56:18,1170,2075,35,79,17,571,marketplace,desktop
M0041,2025-09-30 02:24:12,2300,5418,297,18,30,766,discovery,desktop
M0042,2025-05-14 00:47:49,341,5301,647,114,10,598,compliance,desktop
M0043,2025-01-23 12:27:46,1978,14999,711,6,3,437,marketplace,desktop
M0044,2025-11-01 09:51:28,783,11745,630,114,18,689,compliance,mobile
M0045,2025-08-31 16:18:57,1411,13592,222,91,24,731,marketplace,tablet
M0046,2025-12-28 17:11:26,2375,2359,115,104,25,760,compliance,desktop
M0047,2025-08-30 02:07:13,1956,7909,257,28,4,676,discovery,tablet
M0048,2025-11-01 12:50:36,801,11662,701,42,25,377,compliance,desktop
M0049,2025-02-20 18:29:44,1996,2049,379,61,14,219,discovery,mobile
M0050,2026-04-15 11:34:57,2403,2287,540,13,12,882,marketplace,desktop
M0051,2026-05-20 10:39:06,340,13183,329,68,14,455,compliance,desktop
M0052,2025-07-09 06:43:50,2294,2805,513,49,2,393,portfolio,mobile
M0053,2026-04-05 00:28:58,1815,13050,465,72,25,395,portfolio,desktop
M0054,2026-06-05 02:20:44,369,12313,748,73,26,543,marketplace,desktop
M0055,2025-12-26 13:14:19,1382,9294,119,105,14,225,discovery,tablet
M0056,2025-02-24 01:34:49,2500,1981,721,104,19,834,compliance,desktop
M0057,2026-05-16 23:28:06,301,1683,242,104,4,639,marketplace,mobile
M0058,2026-05-29 07:43:19,661,7621,564,37,12,675,compliance,desktop
M0059,2026-06-14 08:23:37,1346,5110,603,101,29,740,discovery,tablet
M0060,2025-12-04 15:53:57,1460,1662,616,1,19,567,compliance,mobile
M0061,2025-08-17 11:59:58,305,6249,582,6,0,765,discovery,desktop
M0062,2025-08-08 04:45:41,177,4054,462,89,18,448,discovery,mobile
M0063,2025-11-12 08:59:50,1612,7330,578,27,21,222,compliance,desktop
M0064,2026-03-08 09:48:31,1625,14017,388,107,13,202,discovery,tablet
M0065,2026-06-05 10:56:13,564,2400,31,9,20,61,portfolio,mobile
M0066,2026-01-14 00:46:13,1838,2424,106,17,20,870,compliance,mobile
M0067,2026-06-25 03:01:07,1793,10411,204,58,16,479,compliance,desktop
M0068,2025-06-25 08:06:56,811,7159,639,0,18,555,portfolio,mobile
M0069,2025-07-29 03:11:31,1732,9148,610,46,1,83,compliance,mobile
M0070,2025-03-29 21:32:12,2426,8089,727,10,4,792,discovery,desktop
M0071,2025-03-02 18:23:55,2193,14780,644,11,7,528,marketplace,mobile
M0072,2026-02-23 19:21:52,2424,5319,647,6,28,396,marketplace,desktop
M0073,2026-02-03 04:43:58,1971,9603,771,42,13,406,discovery,desktop
M0074,2025-01-28 10:31:43,2497,12478,331,93,25,622,discovery,desktop
M0075,2026-01-03 12:21:05,2418,2970,606,6,21,343,marketplace,desktop
M0076,2025-03-06 02:06:03,569,8483,98,108,25,329,discovery,desktop
M0077,2025-08-07 05:41:47,1177,14255,283,1,23,159,portfolio,tablet
M0078,2025-04-28 09:22:19,1879,6258,199,33,25,762,portfolio,desktop
M0079,2026-02-14 15:14:26,185,5817,106,18,19,886,portfolio,mobile
M0080,2025-11-17 17:54:22,1619,4098,696,56,23,697,portfolio,desktop
M0081,2025-09-26 00:40:39,272,10722,290,96,26,163,marketplace,desktop
M0082,2025-11-06 17:08:30,2000,5137,507,95,30,815,portfolio,desktop
M0083,2025-10-30 23:26:27,1993,4502,168,67,27,490,marketplace,desktop
M0084,2025-12-15 14:37:22,1614,11316,343,67,21,87,marketplace,tablet
M0085,2026-05-11 02:26:50,1499,14032,462,78,29,712,discovery,desktop
M0086,2025-07-27 10:52:39,452,4383,690,74,12,517,portfolio,mobile
M0087,2026-04-03 06:36:58,848,8718,365,86,22,229,discovery,desktop
M0088,2026-06-07 13:56:08,84,13826,89,1,13,145,marketplace,mobile
M0089,2025-10-01 00:44:27,948,12082,310,32,6,79,marketplace,mobile
M0090,2025-02-14 04:21:20,2483,10957,242,76,20,169,marketplace,desktop
M0091,2026-04-15 16:09:36,582,6359,692,97,28,708,portfolio,mobile
M0092,2026-06-25 07:55:25,804,4350,321,59,21,122,compliance,tablet
M0093,2025-08-03 16:09:46,1798,11541,703,98,24,376,discovery,desktop
M0094,2025-02-27 11:24:18,1185,12932,83,48,12,385,marketplace,desktop
M0095,2025-07-25 13:42:37,778,7418,91,62,29,250,compliance,desktop
M0096,2026-01-18 04:36:46,494,2557,573,98,13,268,marketplace,tablet
M0097,2025-07-21 04:02:24,473,771,94,9,18,790,discovery,mobile
M0098,2025-01-15 13:48:03,2088,2638,688,81,0,83,compliance,desktop
M0099,2026-06-28 17:58:29,1400,6611,608,0,16,769,compliance,desktop
M0100,2025-11-10 17:28:45,337,9049,251,0,12,750,compliance,desktop
M0101,2026-02-20 18:47:28,1520,5663,718,38,12,101,marketplace,desktop
M0102,2025-09-22 03:13:47,379,13981,490,97,24,341,portfolio,desktop
M0103,2025-01-31 13:11:10,1623,11025,215,38,22,444,marketplace,mobile
M0104,2025-10-07 01:06:45,2042,1590,667,56,23,239,portfolio,desktop
M0105,2025-01-20 16:49:49,2478,4107,520,49,2,856,discovery,desktop
M0106,2025-12-15 23:41:40,117,806,367,7,10,851,marketplace,desktop
M0107,2025-06-14 09:58:01,2192,7709,714,111,27,594,portfolio,mobile
M0108,2025-06-30 23:10:02,345,804,773,18,15,714,marketplace,desktop
M0109,2026-04-26 07:17:28,237,4176,738,83,4,59,portfolio,mobile
M0110,2025-08-27 17:10:59,448,7674,645,21,26,650,marketplace,mobile
M0111,2025-03-24 14:09:26,517,8345,629,102,19,270,marketplace,mobile
M0112,2025-11-28 01:09:27,1431,13495,775,86,12,377,marketplace,tablet
M0113,2026-03-24 08:48:11,2285,2450,349,107,30,857,portfolio,mobile
M0114,2026-04-06 15:54:37,760,5696,84,15,8,189,compliance,desktop
M0115,2025-10-15 07:56:43,2316,2903,469,31,29,640,marketplace,desktop
M0116,2026-05-07 00:57:42,1590,12941,181,2,28,543,marketplace,desktop
M0117,2025-05-20 08:29:52,415,11779,687,75,28,335,compliance,mobile
M0118,2026-01-05 17:30:56,569,3577,166,81,8,580,compliance,desktop
M0119,2025-05-16 13:49:40,204,9969,204,91,15,671,marketplace,mobile
M0120,2025-08-22 22:46:14,1474,7061,24,71,7,241,marketplace,tablet
M0121,2025-03-16 07:40:34,1532,14334,799,69,16,269,compliance,mobile
M0122,2026-05-28 02:44:56,902,4728,74,24,3,860,portfolio,mobile
